,,P(i),sum over all n(ij),Total Responses,Organism,Environment,Quality,Mat & Subst,Method,Data Type,Process,Anatomy,Location,Time,Event,Person & Org,Human Inter,Other,None,other category,comment
vlpData,influence of rainfall events,0.26666666666666666,8,6,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,meaning?; parameter?,maybe rainfall is an event; even if not singular?
,rainfall events,1.0,30,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,,
,VLP-data,0.6666666666666666,20,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,,
birdDistribution,bird distribution,0.13333333333333333,4,6,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,biod. var.::Paramter,
,Germany,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
meanValue,mean value,0.13333333333333333,4,6,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,parameter?::quantität,
,hydrochemical parameters,0.13333333333333333,4,6,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,parameter?; quality of environment?:: var.::Ecosystem parameter,
,site,0.6666666666666666,20,6,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,,
crossKingdom,aquifer co-occurence patterns of microorganism,0.13333333333333333,4,6,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,biod. var.::Parameter,aquifer co-occurence patterns (of microorganism) could also be parameters (cf. questions above) I do not know where to put cross kingdom level
,aquifer co-occurence patterns,0.13333333333333333,4,6,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,biod. var.::Parameter,
,aquifer,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,microorganism,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,cross kingdom level,0.2,6,6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,,
,soil,0.6666666666666666,20,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,,
paridae,species of the family Paridae,0.6666666666666666,20,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
,Paridae,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Europe,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
coffeaArabica,Coffea arabica,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,subtropical areas could also be a location
,subtropical areas,0.4,12,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,
,Europe,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
waterFlow,landsurface heterogenity,0.2,6,6,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,var::Parameter::environmental quality,landsurface heterogenity -> quality of environment?
,landsurface,0.4666666666666667,14,6,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,,
,patterns of water flow/ flux,0.2,6,6,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,parameter?::var::environmental quality,
,water flow,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,water flux,0.6666666666666666,20,6,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,,
,water,0.6666666666666666,20,6,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,,
verticalCanopy,vertical canopy measurements,0.26666666666666666,8,6,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,parameter?,canopy might better be a location; hm...
,canopy,0.4,12,6,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,bio term,
,beeches,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,spruces,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
datasetSunflowers,sunflowers,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
heracleumMant,Heracleum mantegazzianum,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,neophyt,0.4,12,6,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,
preferentialFlow,trees,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,preferential flow,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
kammerFrost,weather,0.2,6,6,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,,amount of rain & ~ precipitation -> quality of environment? I decided to categorize precipitation as event.
,last 4 weeks,1.0,30,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,
,Kammerforst,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,amount of rain,0.2,6,6,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,quantität::Parameter::environmental quality,
,rain,0.26666666666666666,8,6,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,var,
,amount of precipitation,0.06666666666666667,2,6,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,quantität::Parameter::environmental quality,
,precipitation,0.13333333333333333,4,6,0,0,0,2,0,0,0,0,0,0,2,0,0,1,1,var::Parameter,
coldSeeps,sulfate reduction rates,0.4,12,6,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,var; quantität::Parameter,
,sulfate reduction,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,sulfate,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,cold seep,0.4666666666666667,14,6,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,?,
surfaceProperties,surface properties,0.13333333333333333,4,6,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,,surface properties -> quality of environment?
,processes,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
frogData,frog,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
primulaVeris,Primula veris,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Germany,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
nitrateLeaching,template forests,0.2,6,6,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,typo? temperate ?,I do not know; where to put sources of nitrate leaching.
,sources of nitrate leaching,0.13333333333333333,4,6,0,0,0,1,0,0,2,0,0,0,0,0,0,2,1,,
,nitrate leaching,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,groundwater,0.6666666666666666,20,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,,
rareSpecies,rare species,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,activities,0.26666666666666666,8,6,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,biod. var.,
,groundwater,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
iucnStatus,frog,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,I do not know; where to put IUCN red list. Could be some kind of method?
,IUCN red list status,0.13333333333333333,4,6,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,quantität,
,IUCN red list,0.06666666666666667,2,6,0,0,0,0,1,1,0,0,0,0,0,2,1,0,1,,
landManagement,historic land-management,1.0,30,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,
,historic,0.2,6,6,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,,
,current vegetation structural signatures,0.2,6,6,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,Parameter,
,current,0.6666666666666666,20,6,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,,
,vegetation,0.4,12,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,structural signatures,0.4,12,6,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,Parameter,
bee,bees,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
heracleumMant,Heracleum mantegazzianum,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Berlin,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,Berlin,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,Brandenburg,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,Germany,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,Europe,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
forestFloor,role of throughfall,0.13333333333333333,4,6,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,meaning?; parameter?,
,throughfall,0.6666666666666666,20,6,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,,
,water input,0.4666666666666667,14,6,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,,
,forest floor,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,
spatialRedistrib,spatial re-distribution of precipitation,0.4,12,6,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,quality of environment?,hm; precipitation could also be a process... I do not know tree coupies.
,precipitation,0.26666666666666666,8,6,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,,
,tree coupies,0.0,0,6,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,?,
,vertical transport of organic,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,soil,0.4666666666666667,14,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,,
stylopsMelittae,Germany,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,specimen of Stylops melittae,0.4,12,6,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,
,Stylops melittae,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
gasAnalyticalTec,suitable methods,0.6666666666666666,20,6,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,,
,microbial soil processes,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,microbial,0.26666666666666666,8,6,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,,
,soil,0.4,12,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,
,gas analytical techniques,1.0,30,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,
,gas,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
plantTraits,plant traits,0.6666666666666666,20,6,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,,
,plant,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,precipitation,0.2,6,6,0,0,0,0,0,0,3,0,0,0,1,0,0,1,1,,
,grazing,0.4666666666666667,14,6,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,,
plantPathogens,diversity of hosts,0.26666666666666666,8,6,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,biod. var.::Ecosystem parameter,
,hosts,0.6666666666666666,20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,biod. var.,
,diversity of plant pathogens,0.26666666666666666,8,6,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,biod. var.,
,plant pathogens,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ecosystem parameter,
,plant,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
environmentalFac,environmental factors,0.4,12,6,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,parameter?::var::Parameter,
,soil moisture patterns,0.2,6,6,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,parameter?; quality of environment?::var::Parameter,
,soil moisture,0.4,12,6,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,quality of environment?::var::Parameter,
,soil,0.26666666666666666,8,6,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,,
heterotropicMicro,heterotropic microbial activity,0.4,12,6,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,biod. var.,
,heterotropic,0.4666666666666667,14,6,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,,
,microbial,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
metaboliteProcess,organism,0.6666666666666666,20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
,metabolite,0.6666666666666666,20,6,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,,
,origin of this structure,0.13333333333333333,4,6,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,?,
,structure,0.13333333333333333,4,6,0,0,0,1,0,0,0,2,0,0,0,0,0,2,1,?,
aricideaAntarctica,Aricidea antarctica (Paranonidae),1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
speciesHungary,species,0.4666666666666667,14,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,biod. var.,
,Bäumler; J.A.,1.0,30,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,
,Hungary,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
dnaData,DNA,0.4,12,6,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,,I saw DNA in your examples for anatomy; but it might also be a substance.
,Amphimonhystrella sp. (Nematoda),1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
landAband,land abandonment,0.2,6,6,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,?,
polychaete,specimen,0.2,6,6,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,,deep-sea could also be a location
,deep-sea polychaete,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,deep-sea,0.6666666666666666,20,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,,
westAfrica,vegetation data,0.6666666666666666,20,6,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,,vegetation data could als be parameters for measurement
,West Africa,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
vegetationCan,patterns,0.4666666666666667,14,6,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,parameter?::Parameter,soil depth -> quality of environment?
,vegetation canopies,0.26666666666666666,8,6,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,,
,vegetation,0.6666666666666666,20,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,soil depth,0.2,6,6,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,environmental quality,
,soil,0.26666666666666666,8,6,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,,
omCycle,insect mass infestation,0.4,12,6,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,,OM cycle distribution -> quality of environment?
,fire,0.4,12,6,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,,
,OM cycle,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,OM cycle distribution,0.13333333333333333,4,6,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,,
,soil system,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,land use types,0.2,6,6,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,,
agriculture,agriculture,0.4,12,6,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,,groundwater composition -> quality of environment?
,groundwater composition,0.4,12,6,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,Ecosytem parameter,
,groundwater,0.4666666666666667,14,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,,
co2Fixation,pathway,0.06666666666666667,2,6,0,0,0,0,0,0,1,0,1,0,1,0,0,2,1,term,I do not know where to put pathway. maybe a pathway of CO2 fixation can be a quality of the environment?
,CO2 fixation,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,CO2,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,anoxic aquifers,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
climateChange,prevalence of diseases,0.13333333333333333,4,6,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,var,
,diseases,0.13333333333333333,4,6,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,,
,climate change,0.4,12,6,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,,
forestCover,forest cover change,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,forest cover -> quality of environment?
,forest cover,0.13333333333333333,4,6,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,biodiv. var.,
,Africa,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
parameters,physico-chemical parameters,0.06666666666666667,2,6,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,parameters,
Goldenrod,Goldenrod,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Europe,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
phageTracers,marine phages,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,I am not quite sure about placing tracer as a method.
,tracer,0.2,6,6,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,,
,colloid,0.2,6,6,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,,
,water transport,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,water,0.4666666666666667,14,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,,
,subsurface ecosystems,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,subsurface,0.13333333333333333,4,6,0,2,1,0,0,0,0,0,2,0,0,0,0,1,0,,
dataDnaRna,molecules,0.26666666666666666,8,6,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,,
,DNA,0.26666666666666666,8,6,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,,
,RNA data,0.6666666666666666,20,6,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,,
climaticPara,climatic parameters,0.2,6,6,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,parameter::Ecosystem parameter,I do not know where to put climatic.
,climatic,0.06666666666666667,2,6,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,Ecosystem parameter,
,groundwater discharge,0.4,12,6,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,var.,
,seepage water amount,0.2,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,parameter?::quantität,
,seepage water,0.4666666666666667,14,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,,
acquifersHydrogeo,aquifers,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,hydrogeochemical (properties) -> quality of environment?
,hydrogeochemical properties,0.2,6,6,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,,
,hydrogeochemical,0.2,6,6,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,,
hainichGround,sulfate reducing bacteria,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,sulfate reducing,0.4,12,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,,
,sulfate,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,Hainich groundwater,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Hainich,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
scientificResults,results,0.2,6,6,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,,All four do not really match; hm...
,scientific research,0.06666666666666667,2,6,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,,
,policy,0.13333333333333333,4,6,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,,
,practice,0.2,6,6,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,,
autotrophicOrg,autotrophic organisms,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,autotrophic,0.4,12,6,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,,
,isotopes of carbon,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,carbon,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
,fractimation,0.6666666666666666,20,6,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,?,
habitatData,habitat data,0.6666666666666666,20,6,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,,habitat data could also be parameters for measurement
,specific taxa,0.6666666666666666,20,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
srbCommunity,parameters,0.2,6,6,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,parameter::var,
,SRB community,0.26666666666666666,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,biod. var.,
,sulfate reduction rate,0.4,12,6,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,var::Parameter::environmental property or quality,
,sulfate reduction,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,sulfate,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,
biotopeRegion,taxa,0.6666666666666666,20,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,country checklist same like red list; not really a method...
,specific location,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,biotope,0.26666666666666666,8,6,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,biodiv. var.,
,region,0.6666666666666666,20,6,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,,
,country checklists,0.2,6,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,,
insectTaxa,taxa,0.2,6,6,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,host plant could also be environment
,insect,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,host plant,0.6666666666666666,20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
seepageWater,water chemistry of the seepage water,0.06666666666666667,2,6,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,var,terms under environment -> quality of the environment? terms under mat & subst could also be environment
,water chemistry,0.06666666666666667,2,6,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,domain,
,water,0.4666666666666667,14,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,,
,seepage water,0.26666666666666666,8,6,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,,
,chemistry of the groundwater,0.13333333333333333,4,6,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,,
,chemistry,0.06666666666666667,2,6,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,domain,
,groundwater,0.4666666666666667,14,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,,
molecularMarkers,molecular markers,0.4,12,6,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,,
,processes of nitrogen transformation,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,nitrogen transformation,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,pristine aquifer,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
depwaterHorizon,Deepwater Horizon oil spill,0.2,6,6,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,,
,Deepwater Horizon,0.2,6,6,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,,
,Gulf of Mexico fauna,0.4666666666666667,14,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Gulf of Mexico,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
zeaMays,geographic elevation,0.06666666666666667,2,6,0,1,0,0,0,1,0,0,2,0,0,0,0,1,1,environmental quality,geographic elevation -> quality of environment?
,growth rate of Zea mays,0.4,12,6,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,biod. var.,
,plant development of Zea mays,0.26666666666666666,8,6,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,biod. var.,
,Zea mays,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
sphaerothecaAp,Sphaerotheca aphanis,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Macedonia,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
microActivity,microbial activities,0.6666666666666666,20,6,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,biod. var.,
,microbial,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,groundwater,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
diversityCityAgri,diversity of species traits,0.2,6,6,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,biodiversity response; index,
,species traits,0.6666666666666666,20,6,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,,
,cities,0.4,12,6,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,,
,agricultural areas,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,,
ecosystemServ,biodiversity,0.06666666666666667,2,6,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,Ecosystem service,ecosystem service (delivery) -> quality of environment?
,ecosystem service delivery,0.26666666666666666,8,6,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,,
,ecosystem service,0.13333333333333333,4,6,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,,
substancesX,substances X,0.6666666666666666,20,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,,
,mammals,0.6666666666666666,20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
treeSpeciesDiv,global map,0.2,6,6,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,,
,tree species diversity,0.2,6,6,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,biod. var.::Ecosystem service::biodiversity response; index,
,tree species,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
filtrationVolume,effect of filtration volume,0.13333333333333333,4,6,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,parameter?,I do not know where to put different types.
,filtration volume,0.13333333333333333,4,6,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,quantität::Parameter,
,filtration,0.6666666666666666,20,6,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,,
,yield on DNA/RNA,0.13333333333333333,4,6,0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,parameter?::domain::Parameter,
,DNA,0.26666666666666666,8,6,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,,
,RNA,0.26666666666666666,8,6,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,,
,different types,0.4,12,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,term,
factor,crop yield increase,0.2,6,6,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,parameter?,
,crop yield,0.4,12,6,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,,
,cacoa,0.6666666666666666,20,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
holothuriansM,holothurians,0.6666666666666666,20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?,
,4000m (depth),0.4,12,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,
sedimentSamples,species,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,water,0.26666666666666666,8,6,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,,
,sediment samples,0.13333333333333333,4,6,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,,
,sediment,0.4666666666666667,14,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,,
paridaeLandUse,species richness of Paridae,0.4,12,6,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,quantity; value::Ecosystem service::biodiversity index,
,Paridae,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
